0, '2-color LED', 'V1-131', 8
1, 'Passive Buzzer', 'V1-006', 3
2, '2-color LED', 'V1-011', 8
3, 'null', 'V1-031', 4
4, 'Vibration switch', 'V1-002', 7
5, 'Photo resistor', 'V1-018', 5
6, 'Key switch', 'V1-004', 3
7, 'Tilt switch', 'V1-020', 7
8, 'Full-color LED SMD modules', 'V1-009', 8
9, 'null', 'V1-005', 6
10, '3-color LED', 'V1-016', 5
11, 'Mercury optical', 'V1-017', 5
12, '2-color LED 3MM', 'V1-029', 4
13, 'Active buzzer', V1-012', 7
14, 'Temperature sensor', 'V1-013', 3
15, 'Automatic LED', 'V1-034', 6
16, 'Mini magnetic reed modules', 'V1-021', 6
17, 'null', 'V1-003', 2
18, 'Infrared sensor receiver', 'V1-022', 1
19, 'null', 'V1-035', 3
20, '5V 2-Channel relay', 'V1-027', 10
21, 'Rotary encoder', 'V1-040', 3
22, 'Optical encoder', 'V1-010', 9
23, 'Optical sensor', 'V1-039', 6
24, 'null', 'V1-025,' 10
25, 'Obstacle avoidance sensor', 'V1-032', 4
26, 'Voltage monitor', 'V1-033', 2
27, 'Microphone sound sensor', 'V1-038', 3
28, 'Laser sensor', 'V1-008', 3
29, '5V relay', 'V1-019', 6
30, 'Temperature sensor', 'V1-001', 10
31, , V1-028, 7
32, Linear magnetic hall sensors, V1-024, 6
33, Flame sensor, V1-026, 4
34, Sensitive microphone sensor, V1-037, 4
35, Temperature and humidity sensor, V1-015, 1
36, XY-axis joystick, V1-023, 4
37, Metal touch sensor, V1-036, 3
38, Voltage sensor, KR-12, 5
39, MQ2 sensor, MQ2, 4
40, MQ5 sensor, MQ5, 3
41, MQ7 sensor, MQ7, 1
42, Temperature sensor, DS18B20, 6
43, Temperature humidity sensor, DHT11, 2
44, Flame detection sensor, KR-0012, 5
45, Water level sensor module, KR-021, 8
46, Digital touch sensor module, KR-0212, 1
47, Vibration sensor module, KR-0991, 1
48, Sound sensor module, KR-2131, 1
49, Photosensitive sensor module, KR-0192, 8
50, Passive buzzer module, KR-877, 4
51, Digital air pressure sensor , BMP180, 6
52, Infrared sensor module, HC-SR501, 2
53, Two-way relay module, KR-002, 2


//location column
id, part_id, location, qty
1,38,W9,1
2,11,M4,2
3,32,H6,2
4,46,A1,1
5,2,C2,3
6,44,J4,3
7,47,O1,1
8,46,F9,3
9,44,I8,2
10,22,I0,3
11,6,Z0,3
12,50,A4,1
13,3,Q9,2
14,8,H6,2
15,4,P6,2
16,50,B7,1
17,13,X0,1
18,2,I9,2
19,12,F2,3
20,8,I5,2
21,53,D9,2
22,53,L1,3
23,1,X9,2
24,14,H2,2
25,4,V5,2
26,31,Z3,2
27,50,S6,2
28,49,U8,2
29,45,U1,1
30,12,N5,2
31,45,I4,1
32,46,A7,2
33,15,V9,2
34,39,T3,2
35,54,U0,1
36,0,P0,1
37,44,Z9,1
38,1,Q0,3
39,29,W9,1
40,4,C6,1
41,22,H0,2
42,6,W6,1
43,29,Z5,2
44,13,H6,3
45,33,X3,3
46,48,O9,2
47,25,W5,3
48,10,P9,2
49,14,F6,2
50,24,U8,1
51,7,W8,1
52,18,H6,2
53,41,Q8,3
54,36,N1,3
55,11,Y4,1
56,25,J6,3
57,8,P0,3
58,47,E4,2
59,8,U5,2
60,44,M8,3
61,35,B6,1
62,3,E7,2
63,30,A9,1
64,48,Y0,2
65,34,H4,3
66,18,N4,1
67,25,U9,2
68,39,T7,1
69,23,P4,1
70,26,C5,1
71,28,C8,3
72,19,Y7,1
73,44,E4,1
74,40,B3,3
75,6,H5,1
76,11,A0,2
77,39,Z8,3
78,27,K1,3
79,8,M9,3
80,39,O7,2
81,54,O2,2
82,8,W4,1
83,44,Z3,1
84,10,O0,1
85,7,L4,2
86,1,R9,3
87,44,F5,3
88,23,B6,1
89,42,X5,1
90,21,P0,1
91,45,S1,2
92,48,L7,3
93,8,I8,1
94,19,P2,2
95,8,W9,1
96,24,X6,3
97,7,P9,3
98,53,R4,3
99,10,N6,1
100,33,K5,2

//manufactorer
id, name
1, Pip Industrial
2, NNC Manufacturing
3, BBEV Corporation
4, Tineye Corporation
5, Tracer Technolgies
6, BN Metals Corp.
